Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,01/06/2026,ROBINHOOD        CREDITS                    PPD ID: 5321710001,22700,ACH_CREDIT,36345.32,
CREDIT,02/20/2026,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,9026.34,ACH_CREDIT,22118.49,
CREDIT,12/06/2024,ADP TOTALSOURCE  DIRECT DEP                 PPD ID: 9111111102,5361.66,ACH_CREDIT,43464.26,
CREDIT,01/17/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,5244.06,ACH_CREDIT,44470.13,
CREDIT,01/03/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2847.79,ACH_CREDIT,47566.55,
CREDIT,12/20/2024,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111103,2843.02,ACH_CREDIT,46814.36,
CREDIT,02/14/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2825.14,ACH_CREDIT,51034.29,
CREDIT,02/28/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2825.13,ACH_CREDIT,46012.13,
CREDIT,01/31/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2825.13,ACH_CREDIT,47529.48,
CREDIT,05/22/2026,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2824.4,ACH_CREDIT,16986.03,
CREDIT,05/08/2026,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2824.4,ACH_CREDIT,14495.49,
CREDIT,04/10/2026,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2824.4,ACH_CREDIT,12242.69,
CREDIT,04/24/2026,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2824.39,ACH_CREDIT,11557.27,
CREDIT,03/27/2026,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2824.39,ACH_CREDIT,11682.69,
CREDIT,06/05/2026,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2824.38,ACH_CREDIT,18621.87,
CREDIT,11/07/2025,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2806.61,ACH_CREDIT,29010.01,
CREDIT,01/02/2026,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2718.17,ACH_CREDIT,16743.53,
CREDIT,02/27/2026,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2717.51,ACH_CREDIT,13123.68,
CREDIT,02/13/2026,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2717.5,ACH_CREDIT,17949.15,
CREDIT,01/16/2026,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2717.5,ACH_CREDIT,16145.1,
CREDIT,01/30/2026,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2717.49,ACH_CREDIT,15652.84,
CREDIT,03/13/2026,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2717.41,ACH_CREDIT,13815.87,
CREDIT,12/19/2025,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2706.62,ACH_CREDIT,11455.45,
CREDIT,12/05/2025,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2706.62,ACH_CREDIT,15465.84,
CREDIT,11/21/2025,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2706.62,ACH_CREDIT,14422.79,
CREDIT,10/10/2025,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2706.62,ACH_CREDIT,26789.36,
CREDIT,09/26/2025,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2706.62,ACH_CREDIT,24369.7,
CREDIT,08/29/2025,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2706.62,ACH_CREDIT,22079.07,
CREDIT,08/15/2025,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2706.62,ACH_CREDIT,24560.83,
CREDIT,10/24/2025,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2706.61,ACH_CREDIT,26586.22,
CREDIT,09/12/2025,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2706.61,ACH_CREDIT,24616.1,
CREDIT,08/01/2025,BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101,2706.61,ACH_CREDIT,25518.6,
CREDIT,07/18/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2706.61,ACH_CREDIT,20352.47,
CREDIT,06/06/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2706.56,ACH_CREDIT,15264.11,
CREDIT,04/25/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2706.56,ACH_CREDIT,51359.05,
CREDIT,07/03/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2706.55,ACH_CREDIT,18567.16,
CREDIT,06/20/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2706.55,ACH_CREDIT,17188.75,
CREDIT,05/23/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2706.54,ACH_CREDIT,13908.45,
CREDIT,05/09/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2706.54,ACH_CREDIT,53375.31,
CREDIT,04/11/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2706.54,ACH_CREDIT,48967.54,
CREDIT,03/28/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2682.64,ACH_CREDIT,48038.12,
CREDIT,03/14/2025,BROOKS SPORTS IN DIRECT DEP                 PPD ID: 9111111101,2682.62,ACH_CREDIT,48620.21,
CREDIT,01/07/2025,ADP TOTALSOURCE  DIRECT DEP                 PPD ID: 9111111102,1533.63,ACH_CREDIT,40012.79,
DEBIT,04/18/2025,GoFundMe Waxe Gasara GOFUNDME.COM CA         04/18,1436,DEBIT_CARD,49670.08,
CREDIT,11/15/2024,OHANA GROWTH PAR PAYROLL                    PPD ID: 1260302465,1296.79,ACH_CREDIT,38337.89,
CREDIT,05/29/2026,362507 ATLAS PRO PAYROLL                    PPD ID: 2364227403,1284.07,ACH_CREDIT,17727.91,
CREDIT,06/12/2026,ORIG CO NAME:362507 ATLAS PRO CO ENTRY DESCR:PAYROLL    SEC:PPD                        ORIG ID:2364227403,1279.41,ACH_CREDIT,,
CREDIT,06/04/2025,Zelle payment from Farhia Fakqay BEC0JERDMYRD,1151,PARTNERFI_TO_CHASE,12807.26,
CREDIT,05/02/2025,Zelle payment from Farhia Fakqay BEC0JDU9GCJW,1151,PARTNERFI_TO_CHASE,51968.19,
CREDIT,04/02/2025,Zelle payment from Farhia Fakqay BEC0200KB72R,1151,PARTNERFI_TO_CHASE,48533.3,
CREDIT,03/03/2025,Zelle payment from Farhia Fakqay BEC01Z5I815C,1151,PARTNERFI_TO_CHASE,49924.87,
CREDIT,02/03/2025,Zelle payment from Farhia Fakqay BEC01YDVEQ6G,1151,PARTNERFI_TO_CHASE,51377.04,
CREDIT,01/03/2025,Zelle payment from Farhia Fakqay BEC007180417,1151,PARTNERFI_TO_CHASE,48717.55,
CREDIT,12/13/2024,OHANA GROWTH PAR PAYROLL                    PPD ID: 1260302465,1077.95,ACH_CREDIT,44390.74,
CREDIT,12/03/2024,Zelle payment from Farhia Fakqay BEC0IS26ZFLN,1066,PARTNERFI_TO_CHASE,38226.72,
CREDIT,11/29/2024,OHANA GROWTH PAR PAYROLL                    PPD ID: 1260302465,1053.93,ACH_CREDIT,37718.14,
