Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,06/12/2026,"AMC 9640 ONLINE 888-440-4262 KS              06/12",-36.71,DEBIT_CARD,19142.67,,
DEBIT,06/12/2026,"EXPRESS TIRES AND AUTO SEATTLE WA            06/11",-121.21,DEBIT_CARD,19179.38,,
CREDIT,06/12/2026,"362507 ATLAS PRO PAYROLL                    PPD ID: 2364227403",1279.41,ACH_CREDIT,19300.59,,
DEBIT,06/11/2026,"WENDYS 1556 SEATTLE WA                       06/10",-18.98,DEBIT_CARD,18021.18,,
DEBIT,06/11/2026,"ORCA 8889886722 WA                           06/10",-3.00,DEBIT_CARD,18040.16,,
DEBIT,06/11/2026,"ORCA 8889886722 WA                           06/10",-3.00,DEBIT_CARD,18043.16,,
DEBIT,06/10/2026,"Zelle payment to Bilal JPM99ck9q981",-10.00,CHASE_TO_PARTNERFI,18046.16,,
DEBIT,06/10/2026,"Subway 14563 120-68609019 WA                 06/10",-11.99,DEBIT_CARD,18056.16,,
DEBIT,06/09/2026,"PROG DIRECT INS  INS PREM                   PPD ID: 9409348062",-182.59,ACH_DEBIT,18068.15,,
DEBIT,06/09/2026,"SAFEWAY #1993 SEATTLE WA                     06/08",-6.12,DEBIT_CARD,18250.74,,
DEBIT,06/09/2026,"AMAZON MKTPL*OW5IG71 Amzn.com/bill WA        06/09",-33.15,DEBIT_CARD,18256.86,,
DEBIT,06/08/2026,"Zelle payment to NAZIRA JPM99ck2mtwz",-100.00,CHASE_TO_PARTNERFI,18290.01,,
DEBIT,06/08/2026,"METROPOLIS PARKING METROPOLIS.IO TN          06/07",-5.99,DEBIT_CARD,18390.01,,
DEBIT,06/08/2026,"SAFEWAY #1993 SEATTLE WA                     06/07",-44.55,DEBIT_CARD,18396.00,,
DEBIT,06/08/2026,"CHIPOTLE 0469 BELLEVUE WA                    06/06",-10.48,DEBIT_CARD,18440.55,,
DEBIT,06/08/2026,"SAFEWAY #1600 BELLEVUE WA                    06/06",-8.38,DEBIT_CARD,18451.03,,
DEBIT,06/08/2026,"FOB POKE BAR BELLEVUE WA                     06/06",-17.64,DEBIT_CARD,18459.41,,
DEBIT,06/08/2026,"SQ *MUSLIM ASSOCIATION Seattle WA            06/05",-5.00,DEBIT_CARD,18477.05,,
DEBIT,06/05/2026,"DOLLARTREE RENTON WA                 064504  06/05",-52.60,DEBIT_CARD,18482.05,,
DEBIT,06/05/2026,"WAL-MART #2516 RENTON WA             056229  06/05",-87.22,DEBIT_CARD,18534.65,,
CREDIT,06/05/2026,"BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101",2824.38,ACH_CREDIT,18621.87,,
DEBIT,06/04/2026,"Online Transfer to CHK ...5174 transaction#: 29487413205 06/04",-3920.00,ACCT_XFER,15797.49,,
DEBIT,06/04/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          06/03",-1.55,DEBIT_CARD,19717.49,,
DEBIT,06/04/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          06/03",-1.75,DEBIT_CARD,19719.04,,
DEBIT,06/04/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          06/03",-1.65,DEBIT_CARD,19720.79,,
CREDIT,06/04/2026,"ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945",570.83,ACH_CREDIT,19722.44,,
DEBIT,06/03/2026,"BILT PAYMENT     BILTRENT   37b64414f0024fb WEB ID: 9999918544",-1527.45,MISC_DEBIT,19151.61,,
DEBIT,06/02/2026,"SAFEWAY #1993 SEATTLE WA                     06/01",-6.63,DEBIT_CARD,20679.06,,
DEBIT,06/01/2026,"WINGSTOP 1046 714-676-3137 WA                05/31",-22.23,DEBIT_CARD,20685.69,,
DEBIT,06/01/2026,"SAFEWAY FUEL1563 RENTON WA                   05/31",-69.84,DEBIT_CARD,20707.92,,
DEBIT,06/01/2026,"SAFEWAY #1600 BELLEVUE WA                    05/30",-5.00,DEBIT_CARD,20777.76,,
DEBIT,06/01/2026,"TST*GARLIC CRUSH BELLEV Bellevue WA          05/31",-16.38,DEBIT_CARD,20782.76,,
DEBIT,06/01/2026,"CHIPOTLE 0469 BELLEVUE WA                    05/30",-11.03,DEBIT_CARD,20799.14,,
DEBIT,06/01/2026,"Zelle payment to Bilal JPM99cizh6y8",-10.00,CHASE_TO_PARTNERFI,20810.17,,
DEBIT,06/01/2026,"DAVESHOTCHICKEN DAVESHOTCHICK WA             05/30",-18.73,DEBIT_CARD,20820.17,,
DEBIT,06/01/2026,"SAFEWAY #1993 SEATTLE WA                     05/29",-14.33,DEBIT_CARD,20838.90,,
DEBIT,06/01/2026,"RESTAURANT DEPOT SEATTLE WA                  05/29",-132.45,DEBIT_CARD,20853.23,,
DEBIT,06/01/2026,"YARD HOUSE ZK 0108343 SEATTLE WA             05/30",-44.96,DEBIT_CARD,20985.68,,
DEBIT,06/01/2026,"SDOT PAYBYPHONE PARKING 2066842489 WA        05/29",-2.50,DEBIT_CARD,21030.64,,
DEBIT,06/01/2026,"CHICK-FIL-A #03251 425-673-7132 WA           05/28",-12.83,DEBIT_CARD,21033.14,,
CREDIT,06/01/2026,"KCHA SECTION 8   CONS PAY                   PPD ID: 9112331001",3511.00,ACH_CREDIT,21045.97,,
DEBIT,05/29/2026,"COSTCO WHSE #0001 SEATTLE WA         498064  05/29",-103.87,DEBIT_CARD,17534.97,,
DEBIT,05/29/2026,"SAFEWAY #1993 SEATTLE WA                     05/28",-5.19,DEBIT_CARD,17638.84,,
DEBIT,05/29/2026,"Zelle payment to CHILD CARE FOR ALL LLC, SEATTLE, WA 29394469463",-30.00,QUICKPAY_DEBIT,17644.03,,
DEBIT,05/29/2026,"CASH APP*YUSUF MAH Oakland CA                05/29",-20.00,DEBIT_CARD,17674.03,,
DEBIT,05/29/2026,"Subway 14563 120-68609019 WA                 05/29",-7.73,DEBIT_CARD,17694.03,,
DEBIT,05/29/2026,"Subway 14563 120-68609019 WA                 05/29",-10.15,DEBIT_CARD,17701.76,,
DEBIT,05/29/2026,"SDOT PAYBYPHONE PARKING 2066842489 WA        05/27",-5.00,DEBIT_CARD,17711.91,,
DEBIT,05/29/2026,"SCC ONLINE PARKING SEATTLE WA                05/27",-11.00,DEBIT_CARD,17716.91,,
CREDIT,05/29/2026,"362507 ATLAS PRO PAYROLL                    PPD ID: 2364227403",1284.07,ACH_CREDIT,17727.91,,
DEBIT,05/28/2026,"POTBELLY #407 SEATTLE WA                     05/27",-4.84,DEBIT_CARD,16443.84,,
DEBIT,05/28/2026,"SAFEWAY #1062 SEATTLE WA                     05/27",-11.49,DEBIT_CARD,16448.68,,
DEBIT,05/28/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          05/27",-1.75,DEBIT_CARD,16460.17,,
CREDIT,05/28/2026,"ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945",164.45,ACH_CREDIT,16461.92,,
DEBIT,05/27/2026,"Zelle payment to NAZIRA JPM99cii2aqv",-25.00,CHASE_TO_PARTNERFI,16297.47,,
DEBIT,05/27/2026,"DOMINO'S 7145 SEATTLE WA                     05/26",-17.64,DEBIT_CARD,16322.47,,
DEBIT,05/27/2026,"GoFundMe Help Bring O GOFUNDME.COM CA        05/27",-25.00,DEBIT_CARD,16340.11,,
DEBIT,05/27/2026,"BROOKS SPORTS INC 855-427-6657 WA            05/26",-67.19,DEBIT_CARD,16365.11,,
DEBIT,05/26/2026,"WINGSTOP 1046 714-676-3137 WA                05/26",-25.76,DEBIT_CARD,16432.30,,
DEBIT,05/26/2026,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-21.00,ACH_DEBIT,16458.06,,
DEBIT,05/26/2026,"T-MOBILE         PCS SVC    0264519         WEB ID: 0000450304",-182.79,ACH_DEBIT,16479.06,,
DEBIT,05/26/2026,"TARGET        00027862 SEATTLE WA            05/25",-4.43,DEBIT_CARD,16661.85,,
DEBIT,05/26/2026,"TST* HOUSTON HOT CHIC 206-823-2768 WA        05/25",-5.52,DEBIT_CARD,16666.28,,
